"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3119807	"en_CHN_mopost_int"	"2014-10-01 07:19:19"	"White House calls for ‘genuine choice’ in Hong Kong elections after petition attracts 200,000 signatures"	"The White House has responded to a petition on its website which attracted around 200,000 signatures, calling upon it to “press the Chinese government to"	"CHN"	1
3119807	"en_CHN_mopost_int"	"2014-10-01 07:19:19"	"White House calls for ‘genuine choice’ in Hong Kong elections after petition attracts 200,000 signatures"	"The White House has responded to a petition on its website which attracted around 200,000 signatures, calling upon it to “press the Chinese government to"	"HKG"	1
3119807	"en_CHN_mopost_int"	"2014-10-01 07:19:19"	"White House calls for ‘genuine choice’ in Hong Kong elections after petition attracts 200,000 signatures"	"The White House has responded to a petition on its website which attracted around 200,000 signatures, calling upon it to “press the Chinese government to"	"USA"	1
3121766	"en_CHN_mopost_int"	"2014-10-01 11:19:24"	"Ebola spreads to US as airline passenger who flew from Liberia confirmed to have deadly virus"	"A man who flew from Liberia to Texas has become the first patient infected with the deadly Ebola virus to be diagnosed in the United States, health officials said."	"LBR"	1
3121766	"en_CHN_mopost_int"	"2014-10-01 11:19:24"	"Ebola spreads to US as airline passenger who flew from Liberia confirmed to have deadly virus"	"A man who flew from Liberia to Texas has become the first patient infected with the deadly Ebola virus to be diagnosed in the United States, health officials said."	"USA"	3
3122300	"en_CHN_mopost_int"	"2014-10-01 12:19:25"	"US congressman to set up Hong Kong Caucus to monitor city’s human rights"	"US congressman Chris Smith, chairman of the House of Representatives’ subcommittee on global human rights, has vowed to establish a Hong Kong Caucus to monitor human rights in the city."	"HKG"	1
3122300	"en_CHN_mopost_int"	"2014-10-01 12:19:25"	"US congressman to set up Hong Kong Caucus to monitor city’s human rights"	"US congressman Chris Smith, chairman of the House of Representatives’ subcommittee on global human rights, has vowed to establish a Hong Kong Caucus to monitor human rights in the city."	"USA"	1
3124281	"en_CHN_mopost_int"	"2014-10-01 15:19:29"	"Could 'sensible' home secretary Theresa May succeed Cameron?"	"To people outside Britain, a government minister talking about ending the persecution of young black men by the police might seem unremarkable. When Home Secretary Theresa May did so in her speech to the ruling Conservative party's annual convention on Tuesday it was the latest landmark in a 12-year battle to modernise her party that reinforced her claim to succeed Prime Minister David Cameron as its leader."	"GBR"	2
3124283	"en_CHN_mopost_int"	"2014-10-01 15:19:29"	"Battle resumes in the United States over law enforcement access to mobile devices"	"A new battle is brewing in the United States over privacy for mobile devices, after moves by Google and Apple to toughen the encryption of their mobile devices sparked complaints from law enforcers."	"USA"	1
3124969	"en_CHN_mopost_int"	"2014-10-01 16:19:32"	"Lufthansa loses court case over male pilots' headwear"	"German flag carrier Lufthansa, which faced a pilots' strike on Tuesday, suffered a fresh setback when it lost a labour dispute over whether pilots should have to wear their caps."	"DEU"	1
3124969	"en_CHN_mopost_int"	"2014-10-01 16:19:32"	"Lufthansa loses court case over male pilots' headwear"	"German flag carrier Lufthansa, which faced a pilots' strike on Tuesday, suffered a fresh setback when it lost a labour dispute over whether pilots should have to wear their caps."	"MDV"	1
3124970	"en_CHN_mopost_int"	"2014-10-01 16:19:32"	"Global hacking ring allegedly targeted US Army and computer game makers"	"Four members of an international hacking ring were charged with cracking the networks of the US Army and developers of blockbuster video wargames to steal software, prosecutors said."	"USA"	1
3124971	"en_CHN_mopost_int"	"2014-10-01 16:19:32"	"Microsoft skips 9 to introduce Windows 10"	"The next version of Microsoft's flagship operating system will be called Windows 10, as the company skips version 9 to emphasise advances it is making towards a world centred on mobile devices and internet services."	""	NA
3126336	"en_CHN_mopost_int"	"2014-10-01 18:19:35"	"US cinema chains refuse to premiere 'Crouching Tiger' sequel"	"US cinema chain Regal Entertainment said it would not premiere the sequel to Crouching Tiger, Hidden Dragon on any of its IMAX screens, objecting to a move by IMAX and Netflix to sidestep a normal theatrical release."	"USA"	1
3126337	"en_CHN_mopost_int"	"2014-10-01 18:19:35"	"Murdoch's News Corp snaps up US online real-estate group Move"	"Rupert Murdoch's News Corp has agreed to buy Move, a US property website business, for US$950 million in a bet on the recovery in the world's biggest housing market."	"USA"	1
3126338	"en_CHN_mopost_int"	"2014-10-01 18:19:35"	"On top of the world - Monaco's world record HK$3.3b penthouse"	"From atop the Odeon Tower penthouse, residents will be able to launch themselves down a slide, plunging two storeys into the open-air infinity pool below."	"MCO"	2
3126339	"en_CHN_mopost_int"	"2014-10-01 18:19:35"	"Armed man with criminal record was allowed into lift with Barack Obama"	"A gun-carrying security contractor with three prior convictions for assault and battery was allowed into a lift with US President Barack Obama during a September 16 trip to Atlanta, violating Secret Service protocols, according to three people familiar with the incident."	"USA"	2
3129362	"en_CHN_mopost_int"	"2014-10-01 23:19:41"	"British PM David Cameron pledges tax cuts for 30 million"	"Britain's Prime Minister David Cameron was cheered yesterday as he pledged sweeping tax cuts for almost half the population in a pitch designed to woo voters and guarantee re-election next year."	"GBR"	3
3131595	"en_CHN_mopost_int"	"2014-10-02 04:19:48"	"US Secret Service chief quits over security breaches"	"The director of the United States Secret Service has resigned following a number of security breaches including a recent incident where an armed man entered the White House"	"USA"	3
3131966	"en_CHN_mopost_int"	"2014-10-02 05:19:49"	"German Chancellor urges Russian president to use influence over Ukraine rebels"	"German Chancellor Angela Merkel, during a telephone call with President Vladimir Putin on Wednesday, stressed Moscow’s “responsibility” to act as a moderating influence over the pro-Russian separatists in eastern Ukraine."	"DEU"	2
3131966	"en_CHN_mopost_int"	"2014-10-02 05:19:49"	"German Chancellor urges Russian president to use influence over Ukraine rebels"	"German Chancellor Angela Merkel, during a telephone call with President Vladimir Putin on Wednesday, stressed Moscow’s “responsibility” to act as a moderating influence over the pro-Russian separatists in eastern Ukraine."	"RUS"	3
3131966	"en_CHN_mopost_int"	"2014-10-02 05:19:49"	"German Chancellor urges Russian president to use influence over Ukraine rebels"	"German Chancellor Angela Merkel, during a telephone call with President Vladimir Putin on Wednesday, stressed Moscow’s “responsibility” to act as a moderating influence over the pro-Russian separatists in eastern Ukraine."	"UKR"	1
3132334	"en_CHN_mopost_int"	"2014-10-02 06:19:50"	"Dozens of US universities stage rallies in support of Hong Kong's protesting students"	"Events were held on dozens of university and college campuses across North America on October 1st in support of pro-democracy protesters in Hong Kong."	"HKG"	1
3132334	"en_CHN_mopost_int"	"2014-10-02 06:19:50"	"Dozens of US universities stage rallies in support of Hong Kong's protesting students"	"Events were held on dozens of university and college campuses across North America on October 1st in support of pro-democracy protesters in Hong Kong."	"USA"	1
3132764	"en_CHN_mopost_int"	"2014-10-02 07:19:52"	"‘We belong to Hong Kong’: Thousands gather at solidarity events in 64 cities worldwide"	"Thousands of people from around the world have voiced support for ongoing pro-democracy protests in Hong Kong at solidarity events in"	"HKG"	1
3132765	"en_CHN_mopost_int"	"2014-10-02 07:19:52"	"Iraqi Kurds fight Islamic State with antiquated weapons"	"The exhausted Kurdish fighters leaned against a pair of antiquated green cannons on a hill overlooking this northern Iraqi village, the ground around them littered with shrapnel from fierce battles with Islamic State militants."	"IRQ"	1
3133261	"en_CHN_mopost_int"	"2014-10-02 08:19:53"	"US sharply criticises new Israeli housing project"	"The Obama administration warned Israel on Wednesday that its plans for a controversial new housing project in east Jerusalem would distance Israel from “even its closest allies” and raise questions about its commitment to seeking peace with Palestinians."	"ISR"	3
3133261	"en_CHN_mopost_int"	"2014-10-02 08:19:53"	"US sharply criticises new Israeli housing project"	"The Obama administration warned Israel on Wednesday that its plans for a controversial new housing project in east Jerusalem would distance Israel from “even its closest allies” and raise questions about its commitment to seeking peace with Palestinians."	"PSE"	1
3133261	"en_CHN_mopost_int"	"2014-10-02 08:19:53"	"US sharply criticises new Israeli housing project"	"The Obama administration warned Israel on Wednesday that its plans for a controversial new housing project in east Jerusalem would distance Israel from “even its closest allies” and raise questions about its commitment to seeking peace with Palestinians."	"USA"	2
3135273	"en_CHN_mopost_int"	"2014-10-02 12:19:58"	"Peace laureate says South Africa Nobel summit axed after Dalai Lama visa row involving China"	"A global summit of Nobel laureates has been cancelled after the event was hit by a boycott over the South African government’s refusal to grant the Dalai Lama a visa, peace prize winner Jody Williams said Wednesday."	"CHN"	2
3135273	"en_CHN_mopost_int"	"2014-10-02 12:19:58"	"Peace laureate says South Africa Nobel summit axed after Dalai Lama visa row involving China"	"A global summit of Nobel laureates has been cancelled after the event was hit by a boycott over the South African government’s refusal to grant the Dalai Lama a visa, peace prize winner Jody Williams said Wednesday."	"ZAF"	2
3138130	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"Wreck from Franklin Northwest Passage expedition is HMS Erebus"	"Experts have identified a shipwreck uncovered last month in the Arctic as the HMS Erebus, the ship British Rear Admiral Sir John Franklin was probably sailing on when it vanished with another vessel 170 years ago, Canada's prime minister announced."	"CAN"	1
3138130	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"Wreck from Franklin Northwest Passage expedition is HMS Erebus"	"Experts have identified a shipwreck uncovered last month in the Arctic as the HMS Erebus, the ship British Rear Admiral Sir John Franklin was probably sailing on when it vanished with another vessel 170 years ago, Canada's prime minister announced."	"GBR"	1
3138131	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"'Man in the Moon' caused by volcanic action, US scientists theorise"	"The giant basin on the near side of the moon might not be the result of a collision with a massive asteroid, contrary to what some scientists believed."	"USA"	1
3138132	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"Facebook grants drag queens exception from 'real name' account policy"	"Facebook has vowed to ease its ""real names"" policy, which prompted drag queen performers to quit the social network and sparked wider protests in the gay community and beyond."	""	NA
3138133	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"Epson starts home printing revolution with tank to replace inkjet cartridges"	"The millions of inkjet cartridges that households go through every year could become a thing of the past after Epson unveiled new ink tanks it claims will revolutionise the economics of home printing."	""	NA
3138134	"en_CHN_mopost_int"	"2014-10-02 16:20:04"	"Notorious Mexico drugs lord Hector Beltran Leyva captured by soldiers"	"Hector Beltran Leyva, a notorious drug lord, has been captured by soldiers at a seafood restaurant in a picturesque town in central Mexico."	"MEX"	2
3138263	"en_CHN_mopost_int"	"2014-10-02 16:23:22"	"Exposed: the web of fake IDs behind Canada's anti-immigration groups"	"An investigation by the South China Morning Post has uncovered a web of fake identities, bogus social media accounts and misleading email addresses pushing the agenda of two Canadian anti-immigration groups."	"CAN"	2
3138263	"en_CHN_mopost_int"	"2014-10-02 16:23:22"	"Exposed: the web of fake IDs behind Canada's anti-immigration groups"	"An investigation by the South China Morning Post has uncovered a web of fake identities, bogus social media accounts and misleading email addresses pushing the agenda of two Canadian anti-immigration groups."	"CHN"	1
3138936	"en_CHN_mopost_int"	"2014-10-02 17:20:06"	"US Ebola patient took three flights on two airlines over 28 hours"	"The first reported case of Ebola in the United States is spooking airline investors and raising the prospect that some frightened travellers might stay home despite repeated reassurances from public-health experts."	"USA"	2
3138937	"en_CHN_mopost_int"	"2014-10-02 17:20:06"	"Immigration Watch decries Canadian diversity as 'colonisation'"	"Advocacy group Immigration Watch Canada wants a dramatic reduction in immigration to Canada, and recognition of ""cultural limits"" to immigration. It derides those who ""celebrate diversity"". Doing so condemns ""long-term residents"" and ""mainstream"" Canadians to ""marginalisation and colonisation"", it says."	"CAN"	3
3139623	"en_CHN_mopost_int"	"2014-10-02 18:20:10"	"Genes of mother's ex-partner show up in young flies. As for humans …"	"What if your genetic destiny wasn't written solely by your two biological parents, but also by your mother's first sexual partner? That is the case for neriid flies, which seem to develop differently based on the traits of their mothers' previous partners."	""	NA
3140385	"en_CHN_mopost_int"	"2014-10-02 19:20:11"	"Notorious Mexico drug lord Hector Beltran Leyva captured by soldiers"	"Notorious drug lord Hector Beltran Leyva has been caught by soldiers at a seafood restaurant in a picturesque Mexican town."	"MEX"	3
3142783	"en_CHN_mopost_int"	"2014-10-02 23:20:16"	"A D.I.Y. semi-automatic rifle, brought to you man behind 3D-printed handgun"	"The creator of the world's first 3D plastic handgun has unveiled his latest invention: a pre-programmed metal-milling machine that enables anyone to easily make the core component of a semi-automatic rifle."	""	NA
